tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Apartamento,Cocó,271,3,3,4,1800.0,2200000.0
Apartamento,Meireles,43,1,1,1,1180.0,465000.0
Apartamento,Aldeota,169,3,4,2,1800.0,550000.0
Apartamento,Damas,78,3,3,1,475.0,210000.0
Apartamento,Cidade dos Funcionários,68,3,3,1,400.0,195000.0
Apartamento,Meireles,150,3,5,2,1460.0,1300000.0
Apartamento,Itaperi,44,2,1,1,300.0,160000.0
Apartamento,Meireles,148,3,4,2,0.0,3800000.0
Apartamento,Aldeota,160,4,4,2,1700.0,800000.0
Apartamento,Aldeota,4,4,0,4,1570.0,1900000.0
Apartamento,Fátima,123,3,3,1,1050.0,345000.0
Apartamento,Meireles,164,3,4,2,1313.0,1500000.0
Apartamento,Mucuripe,164,4,5,3,0.0,1515000.0
Apartamento,Mucuripe,74,2,0,2,888.0,3200.0
Apartamento,Barra do Ceará,44,2,1,1,350.0,145000.0
Apartamento,Dionisio Torres,54,3,2,1,0.0,507000.0
Apartamento,Cidade dos Funcionários,91,3,2,2,480.0,615000.0
Apartamento,Meireles,85,3,1,1,1300.0,299000.0
Apartamento,Fátima,121,3,3,1,800.0,260000.0
Apartamento,Messejana,65,3,2,2,411.0,430000.0
Apartamento,Papicu,97,3,3,2,0.0,970000.0
Apartamento,Praia do Futuro,47,2,2,1,0.0,332000.0
Apartamento,Mucuripe,114,3,4,3,1060.0,1453000.0
Apartamento,Edson Queiroz,81,3,3,2,615.0,655000.0
Apartamento,Meireles,158,3,4,2,2502.0,860000.0
Apartamento,Parangaba,51,2,2,1,250.0,250000.0
Apartamento,Meireles,155,4,5,3,970.0,1950000.0
Apartamento,Meireles,2,4,6,5,2000.0,4095479.0
Apartamento,Dionisio Torres,129,3,0,4,1160.0,495000.0
Apartamento,Aldeota,134,3,5,2,1048.0,690000.0
Apartamento,Montese,61,3,2,2,350.0,340000.0
Apartamento,Passaré,44,2,0,1,0.0,127295.0
Apartamento,Parque Iracema,66,2,2,1,410.0,399000.0
Apartamento,Vicente Pinzon,152,3,0,2,1720.0,290000.0
Apartamento,Passaré,38,2,1,1,0.0,249000.0
Apartamento,Paupina,48,2,2,1,310.0,230000.0
Apartamento,Presidente Kennedy,53,2,2,1,0.0,408000.0
Apartamento,Itaperi,60,3,2,1,550.0,170000.0
Apartamento,São João do Tauape,65,3,2,1,350.0,180000.0
Apartamento,Aldeota,69,3,2,2,720.0,640000.0
Apartamento,Engenheiro Luciano Cavalcante,98,3,3,2,850.0,949000.0
Apartamento,Cristo Redentor,164,3,4,4,1334.0,1472485.0
Apartamento,Dionisio Torres,156,3,4,3,1370.0,629000.0
Apartamento,Meireles,134,3,4,2,1200.0,650000.0
Apartamento,Meireles,325,3,5,5,5000.0,4000000.0
Apartamento,Fátima,65,2,2,1,700.0,240000.0
Apartamento,Cocó,125,3,0,4,1350.0,1700000.0
Apartamento,Joaquim Távora,125,3,1,3,1500.0,715000.0
Apartamento,Conjunto Esperança,68,4,3,1,0.0,200000.0
Apartamento,Centro,110,3,2,1,180.0,250000.0
Apartamento,Meireles,58,2,1,2,860.0,890000.0
Apartamento,Mucuripe,112,3,4,3,1060.0,1278000.0
Apartamento,Aldeota,263,5,0,3,2060.0,950000.0
Apartamento,Cocó,105,3,3,2,0.0,1187000.0
Apartamento,Jacarecanga,48,2,1,1,450.0,290000.0
Apartamento,Meireles,186,3,4,3,2080.0,1200000.0
Apartamento,Papicu,161,3,4,2,1298.0,270000.0
Apartamento,Engenheiro Luciano Cavalcante,57,2,2,1,0.0,491634.0
Apartamento,Jóquei Clube,49,2,2,1,0.0,350000.0
Apartamento,Aldeota,136,3,3,1,750.0,550000.0
Apartamento,Dionisio Torres,50,2,2,1,600.0,610000.0
Apartamento,Montese,62,3,2,1,400.0,375000.0
Apartamento,Jardim Cearense,52,2,1,1,0.0,200000.0
Apartamento,Praia do Futuro,90,3,3,2,0.0,400000.0
Apartamento,Meireles,112,3,3,2,0.0,800000.0
Apartamento,Joaquim Távora,110,3,4,3,0.0,850000.0
Apartamento,Aldeota,63,2,1,1,1100.0,450000.0
Apartamento,Engenheiro Luciano Cavalcante,73,2,2,2,0.0,450000.0
Apartamento,Meireles,319,3,4,5,3600.0,2990000.0
Apartamento,Cocó,74,3,3,2,890.0,478999.0
Apartamento,Meireles,430,5,0,6,4000.0,3500000.0
Apartamento,Cambeba,65,3,2,2,846.0,369000.0
