tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Condomínio,Coaçu,303,4,6,2,700.0,2200000.0
Condomínio,Cambeba,246,3,3,4,0.0,560000.0
Condomínio,Sabiaguaba,180,4,3,3,0.0,1416765.0
Condomínio,Cidade dos Funcionários,1,3,6,5,7696.0,2300000.0
Condomínio,Lagoa Redonda,90,3,2,2,500.0,370000.0
Condomínio,Maraponga,70,3,0,2,70.0,485000.0
Condomínio,Lagoa Redonda,129,3,4,2,630.0,500000.0
Condomínio,José de Alencar,3,3,0,1,420.0,410000.0
Condomínio,Lagoa Redonda,92,2,2,1,380.0,220000.0
Condomínio,Alphaville Fortaleza,650,5,7,6,700.0,5900000.0
Condomínio,Parque Iracema,106,5,5,4,0.0,550000.0
Condomínio,Lagoa Redonda,90,3,3,2,500.0,370000.0
Condomínio,José de Alencar,208,3,5,2,1840.0,1500000.0
Condomínio,Passaré,53,3,2,2,0.0,344580.0
Condomínio,Maraponga,280,4,5,2,0.0,1550000.0
Condomínio,Maraponga,86,3,3,2,0.0,532000.0
Condomínio,Sapiranga,170,4,4,2,300.0,699000.0
Condomínio,Edson Queiroz,157,4,0,3,750.0,800000.0
Condomínio,Lagoa Redonda,206,3,4,3,0.0,1100000.0
Condomínio,Cidade dos Funcionários,288,3,5,6,0.0,850000.0
Condomínio,Maraponga,212,4,5,4,500.0,1900000.0
Condomínio,Cajazeiras,212,4,5,4,700.0,1100000.0
Condomínio,Manoel Dias Branco,78,3,2,2,0.0,340000.0
Condomínio,Passaré,86,3,3,2,600.0,350000.0
Condomínio,Maraponga,86,3,4,2,400.0,539999.0
Condomínio,Cidade dos Funcionários,346,4,5,4,0.0,1300000.0
Condomínio,Maraponga,101,3,3,2,500.0,543000.0
Condomínio,Lagoa Redonda,62,3,3,2,420.0,360000.0
Condomínio,Cambeba,248,4,4,3,2150.0,850000.0
Condomínio,Barroso,76,2,3,2,0.0,318000.0
Condomínio,Sabiaguaba,206,3,3,3,0.0,1103130.0
Condomínio,Alphaville Fortaleza,380,5,7,4,980.0,3900000.0
Condomínio,Antônio Diogo,265,3,5,4,0.0,2990000.0
Condomínio,Alphaville Fortaleza,1,6,8,8,2500.0,13500000.0
Condomínio,Lagoa Sapiranga (Coité),220,5,5,4,1095.0,595000.0
Condomínio,Cidade dos Funcionários,188,3,4,2,1300.0,899999.0
Condomínio,Edson Queiroz,200,4,5,4,1550.0,1150000.0
Condomínio,Maraponga,209,4,4,3,550.0,1600000.0
Condomínio,Cidade dos Funcionários,180,3,4,3,1250.0,598000.0
Condomínio,Cidade dos Funcionários,207,4,4,4,980.0,880000.0
Condomínio,Eusébio,150,0,0,0,750.0,899000.0
Condomínio,Mondubim,118,4,3,3,580.0,550000.0
Condomínio,Alagadiço,277,3,4,3,1900.0,1300000.0
Condomínio,de Lourdes,325,4,5,5,2800.0,3500000.0
Condomínio,Edson Queiroz,200,4,5,3,0.0,660000.0
Condomínio,Maraponga,70,3,2,2,70.0,480000.0
Condomínio,Sapiranga,115,3,3,2,575.0,320000.0
Condomínio,Maraponga,111,2,3,2,650.0,660000.0
Condomínio,Curió,132,3,5,2,0.0,649990.0
Condomínio,Serrinha,540,4,4,2,0.0,595000.0
Condomínio,Maraponga,212,4,5,4,670.0,1900000.0
Condomínio,José de Alencar,205,4,6,3,1100.0,1120000.0
Condomínio,Lagoa Redonda,121,4,4,2,580.0,285.0
Condomínio,Jardim das Oliveiras,152,4,4,2,0.0,780000.0
Condomínio,Cocó,220,3,5,5,258.0,1400000.0
Condomínio,de Lourdes,654,4,4,7,0.0,10000000.0
Condomínio,Lagoa Redonda,5,5,0,4,0.0,1790000.0
Condomínio,Sapiranga,277,4,4,3,1900.0,1300000.0
Condomínio,Curió,186,3,4,3,1200.0,920000.0
Condomínio,Benfica,506,6,3,5,0.0,1400000.0
Condomínio,Maraponga,250,4,5,3,580.0,1850000.0
Condomínio,de Lourdes,325,4,5,4,2300.0,3599000.0
Condomínio,Edson Queiroz,217,4,6,5,1100.0,795000.0
Condomínio,Passaré,93,3,2,4,650.0,580000.0
Condomínio,Sapiranga,278,3,4,2,2000.0,1300000.0
Condomínio,Maraponga,230,3,1,1,100.0,700000.0
Condomínio,Meireles,660,3,5,5,0.0,3000000.0
Condomínio,Passaré,127,3,2,2,440.0,440000.0
Condomínio,Itaperi,70,3,2,2,547.0,399000.0
Condomínio,Engenheiro Luciano Cavalcante,324,5,5,6,1200.0,3500000.0
Condomínio,Praia do Futuro II,185,3,4,2,1129.0,1663259.0
Condomínio,Lagoa Redonda,90,3,3,2,500.0,470000.0
Condomínio,Edson Queiroz,277,3,3,3,2000.0,1300000.0
Condomínio,Messejana,78,3,2,2,630.0,280000.0
Condomínio,Messejana,85,2,2,2,360.0,318000.0
Condomínio,José de Alencar,100,3,3,2,0.0,782000.0
Condomínio,Coaçu,540,5,6,5,0.0,1050000.0
Condomínio,Cambeba,83,2,2,1,450.0,319000.0
Condomínio,Sapiranga,193,4,5,3,50.0,1416765.0
Condomínio,Parque Manibura,150,3,5,3,800.0,550000.0
Condomínio,Sapiranga,145,3,4,2,1660.0,720000.0
Condomínio,Sapiranga,145,3,4,4,970.0,650000.0
Condomínio,Messejana,80,2,3,2,80.0,250000.0
Condomínio,Lagoa Redonda,148,3,4,3,1150.0,940000.0
Condomínio,Maraponga,245,4,5,4,50.0,1950000.0
Condomínio,de Lourdes,410,5,6,5,2900.0,2490000.0
Condomínio,Barroso,123,2,1,2,170.0,165000.0
Condomínio,Maraponga,200,3,3,3,600.0,1550000.0
Condomínio,de Lourdes,390,6,7,4,2900.0,3000000.0
Condomínio,Sabiaguaba,149,4,5,2,0.0,860000.0
Condomínio,Sabiaguaba,186,3,4,3,770.0,1103000.0
Condomínio,Engenheiro Luciano Cavalcante,7,7,0,5,1200.0,2100000.0
Condomínio,Passaré,53,3,2,2,300.0,299990.0
Condomínio,Sapiranga,145,3,3,2,1000.0,770000.0
Condomínio,Maraponga,260,4,4,4,800.0,1700000.0
Condomínio,José de Alencar,205,4,5,3,1100.0,1120000.0
Condomínio,Cambeba,220,3,4,3,0.0,850000.0
Condomínio,Sapiranga,240,5,0,5,1800.0,650000.0
Condomínio,Edson Queiroz,199,4,5,4,1550.0,1175000.0
Condomínio,Edson Queiroz,220,4,5,3,1095.0,830000.0
Condomínio,José de Alencar,240,5,4,5,1700.0,995000.0
Condomínio,Sapiranga,180,3,4,4,1100.0,750000.0
Condomínio,Lagoa Redonda,390,3,3,5,0.0,550000.0
Condomínio,Lagoa Redonda,100,3,2,2,0.0,350000.0
Condomínio,Mondubim,92,3,3,1,390.0,339999.0
Condomínio,Cambeba,228,4,6,4,800.0,750000.0
Condomínio,Jardim das Oliveiras,212,3,4,3,960.0,750000.0
Condomínio,de Lourdes,500,6,8,6,1850.0,2790000.0
Condomínio,Engenheiro Luciano Cavalcante,201,4,5,6,300.0,990000.0
Condomínio,Dunas,470,5,8,6,1450.0,5200000.0
Condomínio,Dunas,536,4,5,4,2100.0,3350000.0
Condomínio,Passaré,141,3,4,2,672.0,540000.0
Condomínio,José de Alencar,180,3,4,3,95.0,750000.0
Condomínio,Cambeba,366,4,0,5,1850.0,1790000.0
Condomínio,José de Alencar,177,4,4,4,1500.0,550000.0
